batch,horizon_h,variable,rmse,mae,pearson
1,6,u10,0.6654401421546936,0.5026336908340454,0.8431414365768433
1,6,v10,0.7722928524017334,0.550773024559021,0.7206019759178162
1,6,t2m,0.5983951687812805,0.49587923288345337,0.8188110589981079
1,6,msl,0.6431151628494263,0.4674188494682312,0.9194555878639221
1,12,u10,0.6833802461624146,0.5358206033706665,0.6739001274108887
1,12,v10,0.835519015789032,0.5898833870887756,0.5683335661888123
1,12,t2m,0.6093159914016724,0.5078973174095154,0.827301025390625
1,12,msl,0.8050201535224915,0.589877724647522,0.8275353312492371
1,18,u10,0.6484110951423645,0.518151044845581,0.5682957768440247
1,18,v10,0.8486402034759521,0.6303547620773315,0.5119645595550537
1,18,t2m,0.6198847889900208,0.5022860765457153,0.8278579115867615
1,18,msl,0.6896299123764038,0.564357578754425,0.7457576394081116
1,24,u10,0.6266564726829529,0.48538774251937866,0.6013297438621521
1,24,v10,0.8964241147041321,0.7020057439804077,0.6315680146217346
1,24,t2m,0.6443116664886475,0.5028422474861145,0.8241142630577087
1,24,msl,0.8034054636955261,0.7273614406585693,0.7246612906455994
2,6,u10,0.6584581732749939,0.5256816148757935,0.7699031829833984
2,6,v10,0.6834988594055176,0.4907699227333069,0.7089985609054565
2,6,t2m,0.6375524401664734,0.5215364694595337,0.8095038533210754
2,6,msl,0.6407228708267212,0.45907992124557495,0.9114038944244385
2,12,u10,0.6473375558853149,0.5108437538146973,0.6132825016975403
2,12,v10,0.7226278185844421,0.5459926128387451,0.620648980140686
2,12,t2m,0.649098813533783,0.5241784453392029,0.816045880317688
2,12,msl,0.44723019003868103,0.3516002297401428,0.8336054682731628
2,18,u10,0.7979946732521057,0.6050518751144409,0.6041330099105835
2,18,v10,0.7982428669929504,0.6105115413665771,0.6558810472488403
2,18,t2m,0.6216433048248291,0.4934747815132141,0.8167369365692139
2,18,msl,0.6428300738334656,0.5237631797790527,0.5792714953422546
2,24,u10,1.082120656967163,0.7943540811538696,0.4522131681442261
2,24,v10,1.1807032823562622,0.8966797590255737,0.602980375289917
2,24,t2m,0.58653724193573,0.46075475215911865,0.8001335859298706
2,24,msl,1.0398600101470947,0.8206304311752319,0.09637858718633652
3,6,u10,0.6044619679450989,0.465747594833374,0.6569092869758606
3,6,v10,0.5476548075675964,0.416383296251297,0.76018887758255
3,6,t2m,0.656082034111023,0.515839695930481,0.8101760149002075
3,6,msl,0.3582177460193634,0.2765049934387207,0.8398358225822449
3,12,u10,0.9802317023277283,0.7280017137527466,0.5059096813201904
3,12,v10,0.7558877468109131,0.5487549304962158,0.5976502299308777
3,12,t2m,0.6622797250747681,0.5290360450744629,0.7992733120918274
3,12,msl,0.6980240941047668,0.4891622066497803,0.22902141511440277
3,18,u10,1.149123191833496,0.8533807396888733,0.2807118594646454
3,18,v10,1.0787277221679688,0.7874897122383118,0.6305935382843018
3,18,t2m,0.6073784828186035,0.4837467074394226,0.7841993570327759
3,18,msl,0.8990915417671204,0.6513645648956299,0.016168879345059395
3,24,u10,1.115281343460083,0.8660489320755005,-0.12317930907011032
3,24,v10,1.0660653114318848,0.8200395703315735,0.6784623861312866
3,24,t2m,0.5656172633171082,0.43139079213142395,0.7789871096611023
3,24,msl,0.8086154460906982,0.6299465298652649,0.21814113855361938
4,6,u10,0.9715357422828674,0.7135113477706909,0.6005569696426392
4,6,v10,0.8752644658088684,0.5930548906326294,0.5242560505867004
4,6,t2m,0.6477727293968201,0.5171072483062744,0.8046379089355469
